UUID,Title,Company,Location,Posted Date,Job Link,Processed
a4700cd8-2385-4046-aa6e-5f097836226e,UX Designer,SongPush,"Berlin, Berlin, Germany",2025-02-28,https://de.linkedin.com/jobs/view/ui-ux-designer-internship-working-student-m-f-d-at-songpush-4169363327?position=1&pageNum=0&refId=9vEzoYsdG%2BH2NG3ZkULhfQ%3D%3D&trackingId=QdDwdUN5bMvdyzywj5XteA%3D%3D,false
7be5c16d-71ed-46f9-a54e-f6698773ab3d,UX Designer,Yepoda,"Berlin, Berlin, Germany",2025-03-28,https://de.linkedin.com/jobs/view/ux-ui-designer-m-f-d-at-yepoda-4195846771?position=2&pageNum=0&refId=9vEzoYsdG%2BH2NG3ZkULhfQ%3D%3D&trackingId=1aAABu1W%2F4XJNqRHo4CkrA%3D%3D,false
a6d9f976-e662-4021-b683-af79163542fc,UX Designer,SCHUMACHER — Brand + Interaction Design,"Berlin, Berlin, Germany",2025-03-28,https://de.linkedin.com/jobs/view/digital-designer-ui-ux-m-w-d-at-schumacher-%E2%80%94-brand-%2B-interaction-design-4193954840?position=3&pageNum=0&refId=9vEzoYsdG%2BH2NG3ZkULhfQ%3D%3D&trackingId=2ulR2Ye6Nz23k%2BFpsygOJA%3D%3D,false
89c27246-efd3-4940-9419-d01042313e1d,UX Designer,Canonical,"Berlin, Berlin, Germany",2025-02-10,https://de.linkedin.com/jobs/view/junior-ux-designer-at-canonical-4148685352?position=4&pageNum=0&refId=9vEzoYsdG%2BH2NG3ZkULhfQ%3D%3D&trackingId=H5AF%2BJOzsu8HKIVfHODcOQ%3D%3D,false
3dec95d6-9c86-4df8-88ee-1d2d559d6026,UX Designer,Caeli Wind,"Berlin, Berlin, Germany",2025-02-07,https://de.linkedin.com/jobs/view/ux-ui-designer-w-m-d-at-caeli-wind-4144169738?position=5&pageNum=0&refId=9vEzoYsdG%2BH2NG3ZkULhfQ%3D%3D&trackingId=6SegUqgjz%2FAcvNhJXCoxzw%3D%3D,false
